year	heading2	count	weight
1804	Witterungsbeobachtungen in Riga	0	0.0
1805	Abreisende	1	0.0007524454477050414
1805	Amerika	0	0.0
1805	Angekommene Fremde	89	0.06696764484574869
1805	Ausland	0	0.0
1805	Bekanntmachung	110	0.08276899924755456
1805	Bekanntmachungen	1	0.0007524454477050414
1805	Berlin	34	0.025583145221971408
1805	Bern	1	0.0007524454477050414
1805	Brüssel	2	0.0015048908954100827
1805	Börsen- und Handels-Nachrichten	0	0.0
1805	Deutsches Reich	0	0.0
1805	Deutschland	0	0.0
1805	England	0	0.0
1805	Frankreich	0	0.0
1805	Großbritannien und Irland	0	0.0
1805	Haag	36	0.02708803611738149
1805	Hamburg	8	0.006019563581640331
1805	Handel und Verkehr	0	0.0
1805	Inhalt	0	0.0
1805	Inland	0	0.0
1805	Italien	13	0.009781790820165538
1805	Konstantinopel	21	0.01580135440180587
1805	Kopenhagen	12	0.009029345372460496
1805	Lissabon	5	0.003762227238525207
1805	Locales	0	0.0
1805	London	76	0.05718585402558315
1805	Madrid	17	0.012791572610985704
1805	Main	14	0.010534236267870579
1805	München	6	0.004514672686230248
1805	Neueste Nachrichten	0	0.0
1805	New York	1	0.0007524454477050414
1805	Oesterreich	0	0.0
1805	Paris	68	0.051166290443942816
1805	Rom	8	0.006019563581640331
1805	Schweiz	2	0.0015048908954100827
1805	Spanien	2	0.0015048908954100827
1805	St. Petersburg	105	0.07900677200902935
1805	Stockholm	7	0.005267118133935289
1805	Telegramme	0	0.0
1805	Telegraphische Coursberichte	0	0.0
1805	Telegraphische Witterungsberichte	0	0.0
1805	Theater	0	0.0
1805	Todes-Anzeige	16	0.012039127163280662
1805	Turin	0	0.0
1805	Tägliche Eisenbahnzüge	0	0.0
1805	Türkei	0	0.0
1805	Vermischtes	23	0.01730624529721595
1805	Wechsel-Course	0	0.0
1805	Wien	52	0.03912716328066215
1805	Witterungsbeobachtungen in Riga	0	0.0
1806	Abreisende	44	0.03163191948238677
1806	Amerika	0	0.0
1806	Angekommene Fremde	100	0.07189072609633357
1806	Ausland	0	0.0
1806	Bekanntmachung	24	0.017253774263120056
1806	Bekanntmachungen	6	0.004313443565780014
1806	Berlin	35	0.02516175413371675
1806	Bern	0	0.0
1806	Brüssel	0	0.0
1806	Börsen- und Handels-Nachrichten	0	0.0
1806	Deutsches Reich	0	0.0
1806	Deutschland	1	0.0007189072609633358
1806	England	2	0.0014378145219266715
1806	Frankreich	2	0.0014378145219266715
1806	Großbritannien und Irland	0	0.0
1806	Haag	41	0.029475197699496764
1806	Hamburg	6	0.004313443565780014
1806	Handel und Verkehr	0	0.0
1806	Inhalt	0	0.0
1806	Inland	0	0.0
1806	Italien	5	0.0035945363048166786
1806	Konstantinopel	17	0.012221423436376708
1806	Kopenhagen	16	0.011502516175413372
1806	Lissabon	3	0.002156721782890007
1806	Locales	0	0.0
1806	London	78	0.056074766355140186
1806	Madrid	6	0.004313443565780014
1806	Main	40	0.02875629043853343
1806	München	19	0.013659237958303379
1806	Neueste Nachrichten	0	0.0
1806	New York	0	0.0
1806	Oesterreich	0	0.0
1806	Paris	65	0.04672897196261682
1806	Rom	14	0.010064701653486701
1806	Schweiz	3	0.002156721782890007
1806	Spanien	0	0.0
1806	St. Petersburg	105	0.07548526240115025
1806	Stockholm	6	0.004313443565780014
1806	Telegramme	0	0.0
1806	Telegraphische Coursberichte	0	0.0
1806	Telegraphische Witterungsberichte	0	0.0
1806	Theater	0	0.0
1806	Todes-Anzeige	17	0.012221423436376708
1806	Turin	0	0.0
1806	Tägliche Eisenbahnzüge	0	0.0
1806	Türkei	1	0.0007189072609633358
1806	Vermischtes	33	0.02372393961179008
1806	Wechsel-Course	0	0.0
1806	Wien	50	0.035945363048166784
1806	Witterungsbeobachtungen in Riga	0	0.0
1807	Abreisende	27	0.024346257889990983
1807	Amerika	0	0.0
1807	Angekommene Fremde	96	0.08656447249774572
1807	Ausland	0	0.0
1807	Bekanntmachung	25	0.02254283137962128
1807	Bekanntmachungen	3	0.002705139765554554
1807	Berlin	3	0.002705139765554554
1807	Bern	0	0.0
1807	Brüssel	0	0.0
1807	Börsen- und Handels-Nachrichten	0	0.0
1807	Deutsches Reich	0	0.0
1807	Deutschland	3	0.002705139765554554
1807	England	0	0.0
1807	Frankreich	3	0.002705139765554554
1807	Großbritannien und Irland	0	0.0
1807	Haag	8	0.007213706041478809
1807	Hamburg	8	0.007213706041478809
1807	Handel und Verkehr	0	0.0
1807	Inhalt	0	0.0
1807	Inland	0	0.0
1807	Italien	0	0.0
1807	Konstantinopel	12	0.010820559062218215
1807	Kopenhagen	34	0.030658250676284943
1807	Lissabon	8	0.007213706041478809
1807	Locales	0	0.0
1807	London	64	0.057709648331830475
1807	Madrid	5	0.004508566275924256
1807	Main	8	0.007213706041478809
1807	München	0	0.0
1807	Neueste Nachrichten	0	0.0
1807	New York	0	0.0
1807	Oesterreich	1	0.0009017132551848512
1807	Paris	39	0.0351668169522092
1807	Rom	3	0.002705139765554554
1807	Schweiz	0	0.0
1807	Spanien	0	0.0
1807	St. Petersburg	71	0.06402164111812443
1807	Stockholm	3	0.002705139765554554
1807	Telegramme	0	0.0
1807	Telegraphische Coursberichte	0	0.0
1807	Telegraphische Witterungsberichte	0	0.0
1807	Theater	0	0.0
1807	Todes-Anzeige	30	0.027051397655545536
1807	Turin	0	0.0
1807	Tägliche Eisenbahnzüge	0	0.0
1807	Türkei	1	0.0009017132551848512
1807	Vermischtes	21	0.018935978358881875
1807	Wechsel-Course	0	0.0
1807	Wien	31	0.027953110910730387
1807	Witterungsbeobachtungen in Riga	0	0.0
1808	Abreisende	33	0.02674230145867099
1808	Amerika	0	0.0
1808	Angekommene Fremde	103	0.08346839546191248
1808	Ausland	0	0.0
1808	Bekanntmachung	40	0.03241491085899514
1808	Bekanntmachungen	9	0.007293354943273906
1808	Berlin	7	0.005672609400324149
1808	Bern	2	0.0016207455429497568
1808	Brüssel	2	0.0016207455429497568
1808	Börsen- und Handels-Nachrichten	0	0.0
1808	Deutsches Reich	0	0.0
1808	Deutschland	0	0.0
1808	England	0	0.0
1808	Frankreich	3	0.0024311183144246355
1808	Großbritannien und Irland	0	0.0
1808	Haag	2	0.0016207455429497568
1808	Hamburg	17	0.013776337115072933
1808	Handel und Verkehr	0	0.0
1808	Inhalt	0	0.0
1808	Inland	0	0.0
1808	Italien	4	0.0032414910858995136
1808	Konstantinopel	8	0.006482982171799027
1808	Kopenhagen	49	0.03970826580226904
1808	Lissabon	6	0.004862236628849271
1808	Locales	0	0.0
1808	London	51	0.041329011345218804
1808	Madrid	17	0.013776337115072933
1808	Main	2	0.0016207455429497568
1808	München	6	0.004862236628849271
1808	Neueste Nachrichten	0	0.0
1808	New York	5	0.004051863857374392
1808	Oesterreich	1	0.0008103727714748784
1808	Paris	93	0.0753646677471637
1808	Rom	9	0.007293354943273906
1808	Schweiz	3	0.0024311183144246355
1808	Spanien	3	0.0024311183144246355
1808	St. Petersburg	77	0.06239870340356564
1808	Stockholm	3	0.0024311183144246355
1808	Telegramme	0	0.0
1808	Telegraphische Coursberichte	0	0.0
1808	Telegraphische Witterungsberichte	0	0.0
1808	Theater	0	0.0
1808	Todes-Anzeige	27	0.02188006482982172
1808	Turin	0	0.0
1808	Tägliche Eisenbahnzüge	0	0.0
1808	Türkei	0	0.0
1808	Vermischtes	47	0.03808752025931929
1808	Wechsel-Course	0	0.0
1808	Wien	48	0.03889789303079417
1808	Witterungsbeobachtungen in Riga	0	0.0
1809	Abreisende	0	0.0
1809	Amerika	0	0.0
1809	Angekommene Fremde	84	0.04878048780487805
1809	Ausland	0	0.0
1809	Bekanntmachung	113	0.06562137049941928
1809	Bekanntmachungen	8	0.004645760743321719
1809	Berlin	21	0.012195121951219513
1809	Bern	2	0.0011614401858304297
1809	Brüssel	2	0.0011614401858304297
1809	Börsen- und Handels-Nachrichten	0	0.0
1809	Deutsches Reich	0	0.0
1809	Deutschland	0	0.0
1809	England	1	0.0005807200929152149
1809	Frankreich	1	0.0005807200929152149
1809	Großbritannien und Irland	0	0.0
1809	Haag	0	0.0
1809	Hamburg	8	0.004645760743321719
1809	Handel und Verkehr	0	0.0
1809	Inhalt	0	0.0
1809	Inland	0	0.0
1809	Italien	1	0.0005807200929152149
1809	Konstantinopel	4	0.0023228803716608595
1809	Kopenhagen	20	0.011614401858304297
1809	Lissabon	1	0.0005807200929152149
1809	Locales	0	0.0
1809	London	22	0.012775842044134728
1809	Madrid	18	0.010452961672473868
1809	Main	14	0.008130081300813009
1809	München	38	0.022067363530778164
1809	Neueste Nachrichten	0	0.0
1809	New York	1	0.0005807200929152149
1809	Oesterreich	4	0.0023228803716608595
1809	Paris	92	0.053426248548199766
1809	Rom	7	0.0040650406504065045
1809	Schweiz	3	0.0017421602787456446
1809	Spanien	1	0.0005807200929152149
1809	St. Petersburg	87	0.050522648083623695
1809	Stockholm	18	0.010452961672473868
1809	Telegramme	0	0.0
1809	Telegraphische Coursberichte	0	0.0
1809	Telegraphische Witterungsberichte	0	0.0
1809	Theater	0	0.0
1809	Todes-Anzeige	15	0.008710801393728223
1809	Turin	1	0.0005807200929152149
1809	Tägliche Eisenbahnzüge	0	0.0
1809	Türkei	0	0.0
1809	Vermischtes	36	0.020905923344947737
1809	Wechsel-Course	0	0.0
1809	Wien	101	0.0586527293844367
1809	Witterungsbeobachtungen in Riga	0	0.0
1810	Abreisende	0	0.0
1810	Amerika	0	0.0
1810	Angekommene Fremde	96	0.05283434232250963
1810	Ausland	0	0.0
1810	Bekanntmachung	30	0.01651073197578426
1810	Bekanntmachungen	6	0.003302146395156852
1810	Berlin	13	0.007154650522839846
1810	Bern	11	0.006053935057787562
1810	Brüssel	6	0.003302146395156852
1810	Börsen- und Handels-Nachrichten	0	0.0
1810	Deutsches Reich	0	0.0
1810	Deutschland	1	0.000550357732526142
1810	England	0	0.0
1810	Frankreich	4	0.002201430930104568
1810	Großbritannien und Irland	0	0.0
1810	Haag	0	0.0
1810	Hamburg	9	0.0049532195927352776
1810	Handel und Verkehr	0	0.0
1810	Inhalt	0	0.0
1810	Inland	0	0.0
1810	Italien	7	0.003852504127682994
1810	Konstantinopel	8	0.004402861860209136
1810	Kopenhagen	34	0.018712162905888827
1810	Lissabon	3	0.001651073197578426
1810	Locales	0	0.0
1810	London	71	0.03907539900935608
1810	Madrid	8	0.004402861860209136
1810	Main	13	0.007154650522839846
1810	München	27	0.014859658778205834
1810	Neueste Nachrichten	0	0.0
1810	New York	2	0.001100715465052284
1810	Oesterreich	4	0.002201430930104568
1810	Paris	117	0.06439185470555861
1810	Rom	11	0.006053935057787562
1810	Schweiz	7	0.003852504127682994
1810	Spanien	2	0.001100715465052284
1810	St. Petersburg	104	0.05723720418271877
1810	Stockholm	26	0.014309301045679693
1810	Telegramme	0	0.0
1810	Telegraphische Coursberichte	0	0.0
1810	Telegraphische Witterungsberichte	0	0.0
1810	Theater	0	0.0
1810	Todes-Anzeige	19	0.010456796917996699
1810	Turin	1	0.000550357732526142
1810	Tägliche Eisenbahnzüge	0	0.0
1810	Türkei	0	0.0
1810	Vermischtes	53	0.029168959823885527
1810	Wechsel-Course	0	0.0
1810	Wien	64	0.035222894881673086
1810	Witterungsbeobachtungen in Riga	0	0.0
1811	Abreisende	0	0.0
1811	Amerika	1	0.0006373486297004461
1811	Angekommene Fremde	85	0.05417463352453792
1811	Ausland	0	0.0
1811	Bekanntmachung	105	0.06692160611854685
